loan_id,installment_no,risk_bucket,pred_prob,target,missed_payment_last_3m,late_payment_last_3m,dpd_trend_slope,max_dpd_last_3m,sma_encoded,rolling_30d_balance_volatility,both_shocks_flag,income_shock_flag_3m,cash_flow_trend,bureau_score,risk_tier_encoded,grade_encoded,emi_to_income_ratio,payment_ratio_last_month
LN00000065,5,AMBER,0.3863220333803849,0,0.0,0.0,0.0,0.0,0,0.09670000000000001,0,0.0,-0.07655,725,0,1,0.09989015222392215,1.0
LN00000067,16,RED,0.5212505795423642,0,0.0,1.0,-10.5,21.0,0,0.12893333333333334,0,0.0,-0.11309999999999998,626,1,5,0.25015187206741357,1.0
LN00000068,23,RED,0.5094768097293795,0,0.0,1.0,0.0,5.0,0,0.06709999999999999,0,0.0,0.18195,770,0,0,0.09556648650399832,1.0
LN00000069,18,AMBER,0.2560024952618234,0,0.0,0.0,0.0,0.0,0,0.10116666666666667,0,0.0,-0.07740000000000002,728,0,1,0.0883096011658845,1.0
LN00000071,34,RED,0.6032765473756395,0,0.0,0.0,0.0,0.0,0,0.5142666666666666,0,0.0,0.1215,503,2,7,0.1940838286136037,1.0
LN00000072,10,RED,0.5350710164257547,0,0.0,1.0,0.0,1.0,0,0.26476666666666665,0,0.0,0.03275,591,2,7,0.46327642554021753,1.0
LN00000073,19,RED,0.5264031363616557,0,0.0,0.0,0.0,0.0,0,0.12646666666666664,0,0.0,-0.0398,784,1,5,0.05242100857920067,1.0
LN00000074,11,RED,0.4561840206469067,0,0.0,1.0,-4.5,9.0,0,0.08656666666666667,0,0.0,0.1716,744,0,1,0.24648034071032016,1.0
LN00000077,12,RED,0.6035532340872669,0,0.0,2.0,-29.0,58.0,0,0.1867,0,0.0,-0.155,552,2,7,0.10715532563158563,1.0
LN00000079,47,RED,0.4647065138093234,0,0.0,1.0,-23.0,46.0,0,0.11176666666666668,0,0.0,-0.008400000000000019,717,0,1,0.0864989322502303,1.0
LN00000080,8,RED,0.488581896542593,0,0.0,0.0,0.0,0.0,0,0.4668333333333334,0,0.0,-0.0887,654,2,7,0.2645537077889021,1.0
LN00000081,22,RED,0.47572618706295217,0,0.0,2.0,-6.0,12.0,0,0.26,0,0.0,-0.181,580,1,5,0.11792748694696345,1.0
LN00000085,46,RED,0.5685293443831559,0,0.0,1.0,13.5,27.0,1,0.3203666666666667,0,1.0,-0.0912,572,2,7,0.1370241514624378,1.0
LN00000086,18,AMBER,0.24145362707170792,0,0.0,0.0,0.0,0.0,0,0.12853333333333333,0,0.0,-0.0801,803,0,0,0.1085523281472411,1.0
LN00000087,18,AMBER,0.24082281367599273,0,0.0,0.0,0.0,0.0,0,0.07909999999999999,0,0.0,0.04864999999999997,726,0,1,0.1014449859600426,1.0
LN00000088,6,RED,0.5940349849293756,1,0.0,0.0,0.0,0.0,0,0.34570000000000006,0,0.0,-0.22775,610,2,6,0.24158541226947167,1.0
LN00000092,13,RED,0.5295208550302496,0,0.0,1.0,0.0,42.0,0,0.3061,0,0.0,0.16895,0,3,8,0.0729850995590004,1.0
LN00000093,15,RED,0.4820783422929224,0,0.0,0.0,0.0,0.0,0,0.31373333333333336,0,0.0,-0.09935,544,2,7,0.20291981259921787,1.0
LN00000096,13,GREEN,0.010209169792841845,0,0.0,1.0,14.0,28.0,4,0.35823333333333335,0,1.0,-0.16365,629,1,5,0.1538032234170264,1.0
LN00000097,12,GREEN,0.19848750097484025,0,0.0,1.0,0.0,41.0,0,0.4311,0,1.0,-0.0469,548,2,7,0.2345314524972585,1.0
LN00000099,22,AMBER,0.3313144560125719,0,0.0,0.0,0.0,0.0,0,0.11739999999999999,0,1.0,-0.05804999999999999,811,0,0,0.13555749539942433,1.0
LN00000102,41,RED,0.557580121730051,0,0.0,0.0,0.0,0.0,0,0.38796666666666674,0,0.0,-0.06474999999999997,611,2,6,0.1250612767514176,1.0
LN00000103,11,RED,0.5555635319746643,1,0.0,1.0,-15.0,30.0,0,0.31246666666666667,0,0.0,0.07925000000000001,538,2,7,0.29496726444634214,1.0
LN00000105,48,GREEN,0.1092820575140482,0,0.0,0.0,0.0,0.0,0,0.33116666666666666,0,0.0,-0.09375,655,1,4,0.0719894406996544,1.0
LN00000106,6,GREEN,0.10462348765038287,0,0.0,0.0,0.0,0.0,0,0.059533333333333334,0,0.0,0.033050000000000024,709,0,1,0.018817879068003508,1.0
LN00000107,20,RED,0.5296072238282418,0,0.0,0.0,0.0,0.0,0,0.6258,0,1.0,-0.017250000000000043,514,2,7,0.11910906111549432,1.0
LN00000109,36,GREEN,0.15031492816842612,0,0.0,0.0,0.0,0.0,0,0.19143333333333334,0,0.0,-0.07105,648,1,5,0.08832101496639684,1.0
LN00000110,22,GREEN,0.011204297324226713,0,0.0,0.0,0.0,22.0,4,0.8831333333333333,0,1.0,-0.24900000000000003,590,2,7,0.08048239225430553,1.0
LN00000112,31,AMBER,0.3272173901051339,0,0.0,0.0,0.0,0.0,0,0.14626666666666668,0,0.0,0.14640000000000003,794,0,0,0.05041959219005482,1.0
LN00000114,13,AMBER,0.4048773678961757,0,0.0,1.0,0.0,60.0,0,0.16196666666666668,0,0.0,-0.09275,618,1,5,0.1041829917051156,1.0
LN00000115,41,AMBER,0.4395562139406182,0,0.0,0.0,0.0,0.0,0,0.14713333333333334,0,1.0,0.011099999999999999,719,0,1,0.07528092561196871,1.0
LN00000118,6,GREEN,0.16547492463990976,0,0.0,0.0,0.0,0.0,0,0.38589999999999997,0,0.0,0.010899999999999965,581,2,7,0.27545842032011136,1.0
LN00000120,9,AMBER,0.43639783298706714,0,0.0,0.0,0.0,0.0,0,0.17959999999999998,0,0.0,-0.06575000000000003,632,1,5,0.44951636530598854,1.0
LN00000121,29,RED,0.5425010361872084,0,0.0,0.0,0.0,0.0,0,0.3483333333333334,0,0.0,0.09140000000000004,555,2,7,0.10157236541101113,1.0
LN00000122,9,RED,0.5821582161379774,0,0.0,0.0,0.0,0.0,0,0.38266666666666665,0,0.0,-0.12025000000000002,0,3,8,0.25180105245289425,1.0
LN00000123,30,RED,0.49165386964350494,0,0.0,0.0,0.0,0.0,0,0.23909999999999998,0,0.0,0.018799999999999983,388,2,7,0.1873724812301659,1.0
LN00000128,6,GREEN,0.18962125908609453,1,0.0,0.0,0.0,0.0,0,0.13470000000000001,0,0.0,-0.12810000000000005,714,0,1,0.11992119881152305,1.0
LN00000129,34,RED,0.4867415769960013,0,0.0,0.0,0.0,0.0,0,0.16716666666666666,0,0.0,-0.12975000000000003,714,0,1,0.05039084745448306,1.0
LN00000130,34,RED,0.5215705638518546,0,0.0,1.0,8.5,17.0,1,0.18969999999999998,0,0.0,0.10214999999999996,676,1,4,0.11918151427206936,1.0
LN00000131,15,RED,0.5155718447033522,0,0.0,0.0,0.0,0.0,0,0.6276666666666667,0,0.0,-0.1031,0,3,8,0.33141626854412876,1.0
LN00000132,16,RED,0.524299461225145,0,0.0,1.0,2.0,4.0,1,0.09433333333333332,0,1.0,-0.06629999999999997,749,0,1,0.11625364454460922,1.0
LN00000133,36,RED,0.5209974207231368,0,0.0,0.0,0.0,0.0,0,0.1980333333333333,0,0.0,0.12969999999999998,592,1,5,0.0642348571961339,1.0
LN00000135,44,RED,0.6005420975058315,0,0.0,0.0,0.0,0.0,0,0.26143333333333335,0,0.0,0.05654999999999999,573,2,7,0.08038341066313798,1.0
LN00000137,36,GREEN,0.18588617286690604,0,0.0,0.0,0.0,0.0,0,0.1082,0,0.0,-0.0030999999999999917,767,0,0,0.036526393288577604,1.0
LN00000139,22,RED,0.5304022953798355,0,0.0,0.0,0.0,0.0,0,0.34500000000000003,0,0.0,0.01034999999999997,660,1,4,0.15081974222710892,1.0
LN00000140,21,RED,0.4990807499519201,0,0.0,1.0,0.0,18.0,0,0.4164333333333334,0,0.0,-0.07900000000000001,586,2,7,0.26024741824440617,1.0
LN00000141,17,RED,0.5096873967764232,0,0.0,0.0,0.0,0.0,0,0.24263333333333334,0,0.0,-0.05619999999999997,601,2,6,0.32482449373191896,1.0
LN00000144,17,RED,0.5199048772491653,0,0.0,0.0,0.0,0.0,0,0.21873333333333334,0,0.0,0.023849999999999982,615,1,5,0.170980446275026,1.0
LN00000146,12,AMBER,0.2634722978538099,0,0.0,0.0,0.0,0.0,0,0.09400000000000001,0,0.0,0.07430000000000003,725,0,1,0.15306708106339703,1.0
LN00000147,4,AMBER,0.3913064210127342,0,0.0,0.0,0.0,0.0,0,0.0964,0,0.0,-0.018400000000000027,685,0,2,0.05030723248649596,1.0
LN00000148,54,RED,0.5607855143069601,0,0.0,0.0,0.0,0.0,0,0.4876333333333333,0,0.0,-0.20565000000000003,0,3,8,0.0839142273655548,1.0
LN00000149,20,RED,0.5826124696496827,0,0.0,0.0,0.0,0.0,0,0.2709333333333333,0,0.0,-0.02899999999999997,573,2,7,0.15335335977601494,1.0
LN00000150,36,AMBER,0.36975563685788404,0,0.0,0.0,0.0,0.0,0,0.3440666666666667,0,1.0,-0.1948,0,3,8,0.06545117472993689,1.0
LN00000151,33,RED,0.48133287116508405,0,0.0,1.0,0.0,35.0,0,0.3307333333333333,0,0.0,0.11025000000000001,708,1,5,0.07889167226736726,1.0
LN00000153,16,AMBER,0.26520959141911393,0,0.0,0.0,0.0,0.0,0,0.05756666666666666,0,0.0,0.04920000000000002,682,0,2,0.04335377520875531,1.0
LN00000154,57,RED,0.645039605105242,0,0.0,1.0,0.0,58.0,0,0.7771333333333333,0,0.0,0.21825000000000003,629,2,6,0.07363458613947425,1.0
LN00000155,5,RED,0.5511399401551818,0,0.0,1.0,0.0,1.0,0,0.5382333333333333,0,0.0,0.13745000000000002,553,2,7,0.3640833456589262,1.0
LN00000156,44,AMBER,0.425714175518162,0,0.0,1.0,0.0,12.0,0,0.14383333333333334,0,0.0,-0.028500000000000025,711,0,1,0.08012220879268456,1.0
LN00000157,21,RED,0.5812208505756931,0,0.0,0.0,0.0,0.0,0,0.3724333333333334,0,0.0,-0.12314999999999998,0,3,8,0.0640062843676355,1.0
LN00000159,38,RED,0.47340896113843867,0,0.0,0.0,0.0,0.0,0,0.10210000000000001,0,0.0,-0.01689999999999997,712,0,1,0.04034700589512876,1.0
LN00000162,16,RED,0.5364849529297852,0,0.0,2.0,-12.5,37.0,0,0.5658333333333334,0,1.0,-0.011050000000000004,603,2,6,0.10846189764661936,1.0
LN00000163,24,AMBER,0.2822831793725123,0,0.0,0.0,0.0,0.0,0,0.6152666666666667,0,0.0,0.009000000000000008,613,2,6,0.09082962339068704,1.0
LN00000164,17,AMBER,0.2802283292432343,0,0.0,0.0,0.0,0.0,0,0.11263333333333332,0,0.0,-0.05685000000000001,743,0,1,0.06813249296175623,1.0
LN00000166,46,RED,0.6140204797616181,1,0.0,0.0,0.0,0.0,0,0.31033333333333335,0,1.0,-0.13829999999999998,650,2,7,0.060889728615596016,1.0
LN00000167,15,AMBER,0.37313583012253515,0,0.0,0.0,0.0,0.0,0,0.2268666666666667,0,0.0,0.01655000000000001,632,1,5,0.1750423820908498,1.0
LN00000170,4,RED,0.4754377678402367,0,0.0,0.0,0.0,0.0,0,0.11906666666666667,0,0.0,0.17465000000000003,762,0,0,0.2179604317486867,1.0
LN00000171,16,RED,0.5211342062862234,0,0.0,0.0,0.0,0.0,0,0.23353333333333334,0,0.0,-0.08760000000000001,719,1,5,0.06611480400074549,1.0
LN00000172,21,RED,0.5005250352853144,0,0.0,0.0,0.0,0.0,0,0.3678333333333333,0,0.0,0.026549999999999963,566,2,7,0.21769382564462375,1.0
LN00000177,12,AMBER,0.4146605183737166,0,0.0,0.0,0.0,0.0,0,0.16903333333333334,0,0.0,-0.05954999999999999,673,1,4,0.1210891138607674,1.0
LN00000178,32,RED,0.4921724982221495,0,0.0,0.0,0.0,0.0,0,0.2801,0,0.0,0.10999999999999999,645,1,5,0.14689698221016492,1.0
LN00000180,13,RED,0.46717238762627455,1,0.0,0.0,0.0,0.0,0,0.2608333333333333,0,0.0,-0.00029999999999996696,723,1,5,0.11833269353806782,1.0
LN00000183,47,AMBER,0.42577434363163963,0,0.0,0.0,0.0,0.0,0,0.07193333333333334,0,1.0,-0.014849999999999974,733,0,1,0.07784559613539249,1.0
LN00000184,20,RED,0.5126773537310381,0,0.0,0.0,0.0,0.0,0,0.27576666666666666,0,0.0,-0.02579999999999999,705,1,5,0.14706327678043007,1.0
LN00000185,16,RED,0.498551106702018,1,0.0,1.0,0.0,2.0,0,0.09346666666666666,0,0.0,-0.05630000000000002,804,0,0,0.08765504459843153,1.0
LN00000186,21,RED,0.4886561378587477,0,0.0,0.0,0.0,0.0,0,0.1535,0,0.0,-0.005500000000000005,768,0,0,0.050967101571268235,1.0
LN00000187,23,AMBER,0.3825931772638094,0,0.0,0.0,0.0,0.0,0,0.1791,0,0.0,0.017199999999999993,634,1,5,0.10482121625787134,1.0
LN00000189,41,RED,0.5987669110959403,0,0.0,0.0,0.0,0.0,0,0.3920666666666666,0,0.0,0.10339999999999999,525,2,7,0.08879814117361196,1.0
LN00000191,34,RED,0.471843710694448,0,0.0,0.0,0.0,0.0,0,0.29706666666666665,0,0.0,0.19494999999999998,675,1,4,0.05552640693751363,1.0
LN00000196,36,AMBER,0.20857800011981442,0,0.0,0.0,0.0,0.0,0,0.36900000000000005,0,0.0,0.07214999999999999,508,2,7,0.1932251323488437,1.0
LN00000197,15,RED,0.5177359128228155,0,0.0,1.0,0.0,31.0,0,0.26930000000000004,0,0.0,-0.014149999999999996,692,1,4,0.17438080111182808,1.0
LN00000199,41,RED,0.5603504306206828,0,0.0,1.0,0.0,35.0,0,0.3873333333333333,0,0.0,-0.0014000000000000123,0,3,8,0.07886642005754213,1.0
LN00000201,10,RED,0.5105691004585166,0,0.0,0.0,0.0,0.0,0,0.19193333333333332,0,0.0,0.13865000000000002,623,1,5,0.3178221651847099,1.0
LN00000202,22,RED,0.5782112474373412,0,0.0,0.0,0.0,0.0,0,0.45796666666666663,0,0.0,-0.04065000000000002,567,2,7,0.1306732946412305,1.0
LN00000203,5,RED,0.47276724828288835,0,0.0,0.0,0.0,0.0,0,0.3065333333333334,0,0.0,0.08565,652,1,4,0.19630013754135534,1.0
LN00000204,35,AMBER,0.44077099736378766,0,0.0,0.0,0.0,0.0,0,0.24673333333333333,0,0.0,0.0892,727,1,5,0.044669515569722235,1.0
LN00000205,12,GREEN,0.15239160600878823,0,0.0,0.0,0.0,0.0,0,0.12123333333333335,0,0.0,-0.05265000000000003,763,0,0,0.09762043287460062,1.0
LN00000206,18,RED,0.5408903418473359,0,0.0,1.0,13.0,26.0,1,0.36706666666666665,0,1.0,-0.07900000000000001,0,3,8,0.23232957728942288,1.0
LN00000207,12,GREEN,0.1963641930599242,0,0.0,1.0,0.0,16.0,0,0.3245,0,0.0,0.12035000000000001,0,3,8,0.46037069560308597,1.0
LN00000209,21,AMBER,0.3826013924723221,0,0.0,1.0,0.0,25.0,0,0.34063333333333334,0,0.0,0.12069999999999997,687,1,4,0.07567742438415964,1.0
LN00000211,25,AMBER,0.4323813396953664,0,0.0,0.0,0.0,0.0,0,0.24006666666666665,0,0.0,0.05864999999999998,639,1,5,0.06490404828100631,1.0
LN00000213,32,RED,0.49186726245690476,0,0.0,0.0,0.0,0.0,0,0.7399666666666667,0,0.0,-0.03325,500,2,7,0.13781538773990454,1.0
LN00000214,28,RED,0.5362809825881316,1,0.0,0.0,0.0,0.0,0,0.4869666666666667,0,0.0,-0.06240000000000001,637,2,6,0.11504122737126869,1.0
LN00000216,35,RED,0.5983161095069364,0,0.0,0.0,0.0,0.0,0,0.20750000000000002,0,0.0,-0.007300000000000029,475,2,7,0.05416329993535876,1.0
LN00000218,21,RED,0.5118977630507954,0,0.0,0.0,0.0,0.0,0,0.12313333333333336,0,0.0,-0.08489999999999998,774,0,0,0.09185755542063896,1.0
LN00000219,5,RED,0.8076837492035469,1,0.0,2.0,6.0,14.0,1,0.39566666666666667,1,1.0,-0.2158,647,1,5,0.04803853592672335,1.0
LN00000220,4,RED,0.49292634237184835,0,0.0,0.0,0.0,0.0,0,0.22619999999999998,0,0.0,-0.09800000000000003,613,1,5,0.21769483204134368,1.0
LN00000222,24,AMBER,0.2867656506557956,0,0.0,0.0,0.0,0.0,0,0.2303333333333333,0,0.0,-0.19,707,1,5,0.07588727471712768,1.0
LN00000223,34,AMBER,0.41979521342522197,0,0.0,0.0,0.0,0.0,0,0.1439,0,0.0,0.07355,718,1,5,0.09349831864037081,1.0
LN00000224,12,AMBER,0.3086047713694118,0,0.0,1.0,-20.0,40.0,0,0.27726666666666666,0,0.0,-0.01585000000000003,0,3,8,0.22466950800059818,1.0
LN00000225,5,RED,0.5202583569248412,0,0.0,0.0,0.0,0.0,0,0.40093333333333336,0,0.0,-0.05485000000000001,686,1,4,0.24164357053682894,1.0
LN00000226,31,AMBER,0.43284108203462035,0,0.0,0.0,0.0,0.0,0,0.10756666666666666,0,0.0,-0.10220000000000001,736,0,1,0.06428009186464259,1.0
LN00000227,26,RED,0.5463375999285344,0,0.0,1.0,15.0,30.0,1,0.2142666666666667,0,0.0,0.05545,641,1,5,0.18081772449962538,1.0
LN00000228,41,RED,0.5811456076775912,0,0.0,0.0,0.0,0.0,0,0.2647,0,0.0,0.0029000000000000137,514,2,7,0.1066224465837051,1.0
LN00000234,17,AMBER,0.42690505263663164,1,0.0,1.0,-14.5,29.0,0,0.18603333333333336,0,0.0,-0.037250000000000005,729,1,5,0.25144203151424044,1.0
LN00000238,33,AMBER,0.38400460734628483,1,0.0,0.0,0.0,0.0,0,0.09836666666666667,0,0.0,-0.07939999999999997,741,0,1,0.03940643885287331,1.0
LN00000239,18,AMBER,0.34299161318066346,0,0.0,0.0,0.0,0.0,0,0.23729999999999998,0,0.0,-0.022650000000000003,688,1,4,0.08815848011621573,1.0
LN00000240,14,RED,0.49581111948848,0,0.0,1.0,-5.0,10.0,0,0.31056666666666666,0,0.0,0.1648,609,1,5,0.16884093312962745,1.0
LN00000242,21,RED,0.5778374058217278,0,0.0,0.0,0.0,0.0,0,0.7489666666666667,0,0.0,0.02889999999999998,0,3,8,0.18997425202121634,1.0
LN00000245,14,RED,0.4612825354881913,0,0.0,0.0,0.0,0.0,0,0.3312,0,0.0,0.33194999999999997,594,1,5,0.04939727293737001,1.0
LN00000246,8,RED,0.5568749640767899,0,0.0,0.0,0.0,0.0,0,0.4928333333333334,0,0.0,-0.038349999999999995,542,2,7,0.30702999119897095,1.0
LN00000247,14,AMBER,0.39296999014996276,0,0.0,0.0,0.0,0.0,0,0.10626666666666666,0,0.0,-0.039349999999999996,697,0,2,0.1191299848468049,1.0
LN00000248,11,RED,0.49373232221771435,0,0.0,0.0,0.0,0.0,0,0.2770333333333333,0,0.0,0.02945000000000003,646,1,5,0.25746347028624084,1.0
LN00000249,16,RED,0.4526420571423877,0,0.0,0.0,0.0,0.0,0,0.1707,0,0.0,0.02645000000000003,762,0,0,0.17064994821467988,1.0
LN00000251,10,RED,0.45339272331652397,0,0.0,0.0,0.0,0.0,0,0.2985333333333333,0,0.0,-0.028500000000000025,731,1,5,0.05759219489666321,1.0
LN00000252,23,AMBER,0.31226693251489557,0,0.0,0.0,0.0,0.0,0,0.08356666666666668,0,0.0,-0.03899999999999998,698,0,2,0.07379965519291362,1.0
LN00000255,45,RED,0.5159618321630413,0,0.0,0.0,0.0,0.0,0,0.5113666666666666,0,0.0,-0.09075,502,2,7,0.107744384359401,1.0
LN00000256,10,AMBER,0.4060774430231637,0,0.0,1.0,1.0,2.0,1,0.2507333333333333,0,0.0,0.28025,680,1,4,0.2679964747356052,1.0
LN00000257,31,AMBER,0.277565945730653,0,0.0,0.0,0.0,0.0,0,0.13963333333333333,0,0.0,-0.05735000000000001,776,0,0,0.041180651554261524,1.0
LN00000258,43,AMBER,0.35507442893085445,0,0.0,1.0,0.0,47.0,0,0.13826666666666668,0,0.0,-0.0007500000000000284,707,0,1,0.052951293483332475,1.0
